x_bin,y_bin,t_bin,particle_count
-1954,754,1594,1
-1681,563,994,1
-1606,450,822,1
-1177,-775,0,1
-937,-267,577,1
-566,231,1741,1
-525,94,1587,1
-471,439,2137,1
-420,150,1793,1
-388,1209,3696,1
-386,-1300,312,1
-341,-187,1577,1
-252,-606,1071,1
-250,-377,1330,1
-204,-241,1664,1
-183,-298,1536,1
-113,429,2584,1
-94,-1,2041,1
-89,11,2077,1
-46,-33,2038,1
-39,-48,2020,1
-39,-30,2046,1
-29,-103,1993,1
-27,56,2225,1
-2,8,2150,1
4,-173,1915,1
5,-77,2069,1
8,37,2208,1
14,93,2309,1
17,25,2192,1
18,25,2193,1
19,23,2192,1
20,34,2209,1
24,33,2216,1
25,16,2198,1
36,75,2287,1
38,20,2216,1
39,14,2208,1
43,-1,2194,1
63,17,2265,1
83,-1019,909,1
93,-915,1910,1
93,142,2463,1
101,-161,2187,2
158,533,3102,1
352,-9,2649,1
456,193,3106,1
714,-639,2379,1
1271,332,4437,1
