x_bin,y_bin,t_bin,particle_count
-626,145,810,1
-515,-1280,0,1
-503,567,1329,1
-471,-22,771,1
-465,-751,234,1
-430,995,1830,1
-394,218,1037,1
-340,-1054,320,1
-335,-151,790,1
-330,-186,737,1
-330,-175,744,1
-325,-75,871,1
-324,-769,382,1
-314,-41,868,2
-312,-18,977,1
-308,-103,896,1
-303,-103,894,1
-300,-181,763,1
-299,-2,1014,1
-298,-113,906,1
-296,-95,899,1
-294,-118,882,1
-294,-2,1020,1
-287,-896,646,1
-286,-899,646,1
-251,-746,435,1
-212,53,1060,1
-211,47,1043,1
-187,22,1010,1
-154,-847,643,1
-131,-52,1005,1
-103,-1138,358,1
-80,24,1106,1
-78,-47,1146,1
-71,45,1131,1
-59,-2249,714,1
-57,39,1129,1
-56,-233,913,1
-51,-577,895,2
-50,10,1111,1
-45,80,1166,1
-44,79,1165,1
-40,-269,905,1
-32,240,1429,1
-31,-26,1097,1
-29,-45,1080,1
-24,520,1596,1
-23,229,1372,1
-21,-122,1043,1
-21,2,1129,1
-16,-87,1055,1
-2,-18,1119,1
-1,-28,1111,2
-1,-17,1123,1
-1,33,1206,1
0,-3,1137,1
1,-105,1057,1
1,-18,1120,1
1,-16,1123,1
2,-20,1120,1
3,-20,1120,1
4,-17,1125,1
5,-23,1120,1
5,218,1369,1
7,74,1206,1
7,239,1397,1
9,-19,1127,1
10,-119,1068,1
11,19,1180,1
12,-41,1124,1
12,-21,1128,1
14,-24,1127,1
15,-33,1127,1
28,-16,1153,1
30,58,1218,1
41,-51,1135,1
41,-51,1136,1
41,49,1240,1
41,193,1412,1
59,31,1223,1
61,-71,1159,1
63,175,1335,1
70,-60,1173,1
70,152,1322,1
71,67,1278,1
103,-13,1213,1
111,60,1282,1
112,60,1284,1
115,-625,1621,1
153,123,1401,1
154,123,1401,1
164,-424,978,1
165,-423,979,1
170,47,1337,1
171,-43,1287,1
184,-820,831,1
189,61,1403,1
192,57,1413,1
213,-43,1296,1
242,55,1380,1
245,69,1411,1
246,176,1523,1
300,-720,1064,2
457,346,1899,1
461,350,1916,1
462,-530,2004,1
533,-201,1506,1
595,-280,1511,1
632,-590,2867,1
1047,-1665,1477,2
