x_bin,y_bin,t_bin,particle_count
-1248,-705,483,1
-1025,-65,92,1
-1019,-62,91,1
-910,-327,468,1
-875,20,63,1
-747,-236,43,1
-700,-59,20,1
-699,-57,18,1
-696,-59,18,1
-579,-144,37,1
-549,-119,90,1
-546,-160,88,1
-515,-54,32,1
-512,-95,772,1
-501,-115,52,1
-471,-59,58,1
-421,145,261,1
-402,279,46,1
-293,478,302,1
-271,8,116,1
-228,24,80,1
-220,43,106,1
-175,111,39,2
-144,246,71,1
-142,247,101,1
-139,292,99,1
-132,-15,16,1
-115,-633,272,1
-71,11,21,1
-68,185,10,1
-67,187,10,1
-60,-43,7,1
-59,152,98,1
-43,-143,23,1
-31,92,8,1
-26,207,16,1
-25,307,96,1
-23,-150,7,1
-23,-46,6,1
-20,88,24,1
-11,98,12,1
-9,95,10,1
-8,4,18,1
-8,98,7,1
-7,51,1,2
-6,-142,94,1
-3,-62,1,1
-3,-19,29,1
-1,-63,4,1
1,51,2,1
1,51,4,1
2,79,12,1
3,-121,261,1
4,231,30,1
6,185,134,1
10,61,2,1
12,47,1,1
12,57,1,1
14,40,12,1
15,22,64,1
15,61,3,1
16,47,1,1
18,29,6,1
18,49,14,1
18,58,1,1
19,55,0,1
21,59,0,1
22,-181,6,2
22,63,2,1
23,45,3,1
23,62,0,1
24,64,24,1
26,167,16,1
30,88,7,1
35,-65,11,1
37,54,0,1
37,89,7,1
39,89,15,1
40,49,5,1
41,-65,10,1
41,51,5,1
43,115,5,1
43,119,5,1
44,33,20,1
52,50,9,1
55,43,27,1
62,94,6,1
63,-12,17,1
64,57,17,1
66,4,30,1
67,-5,2,1
74,114,9,1
78,45,5,1
78,328,35,1
79,-32,17,1
83,41,5,1
84,39,2,2
85,147,13,1
88,-26,28,1
90,63,48,1
92,66,45,1
98,109,6,1
101,24,96,1
102,306,399,1
107,47,53,1
111,67,13,1
116,96,6,1
118,-1,24,1
120,65,16,1
122,155,43,1
123,99,12,1
125,-55,20,1
130,-60,18,1
131,-56,17,1
139,40,41,1
139,41,42,1
146,35,16,1
152,190,51,1
154,63,8,1
157,62,10,1
181,74,21,1
186,117,53,1
203,-105,30,1
208,-10,19,1
212,-35,71,1
218,-41,75,1
242,-33,53,1
246,141,67,1
266,113,52,2
272,-167,47,1
273,-166,47,1
311,-291,132,1
319,396,412,1
322,394,408,1
442,670,76,1
524,181,172,1
594,1,379,1
