x_bin,y_bin,t_bin,particle_count
-1163,-1094,109,1
-708,-493,0,1
-509,-200,153,1
-494,-9,280,1
-403,-22,321,1
-380,-300,175,1
-326,253,589,1
-267,-128,314,1
-262,228,668,1
-238,-66,310,1
-232,120,396,1
-184,36,390,1
-163,87,429,1
-154,-45,347,1
-143,-207,371,1
-141,-209,360,1
-131,-196,336,1
-110,-20,396,1
-109,-21,397,1
-77,247,582,1
-63,-132,393,1
-58,-648,154,1
-54,-163,340,1
-52,71,440,1
-14,81,458,1
-5,-259,351,1
6,-168,433,2
8,549,683,1
13,139,505,1
17,130,499,1
23,-1,437,1
24,-6,436,1
27,-18,432,1
35,-29,436,1
36,8,456,1
45,-87,411,1
59,-5,451,1
83,-5,464,1
111,28,487,1
116,435,707,1
117,33,507,1
122,50,528,1
126,-686,279,1
261,495,782,1
302,-236,525,1
303,-236,525,1
435,-262,568,1
826,608,1164,1
1072,455,1439,2
1073,455,1439,1
