x_bin,y_bin,t_bin,particle_count
-380,-462,0,1
-322,-30,672,1
-319,-27,683,1
-287,-493,43,1
-173,91,1124,1
-172,-138,748,1
-169,-289,683,1
-167,-167,683,1
-164,-58,919,1
-154,-110,856,1
-148,-112,807,1
-147,-79,971,1
-146,-303,534,1
-145,-112,818,1
-134,125,1284,1
-129,87,1182,1
-120,82,1180,1
-97,-171,796,1
-95,-115,943,1
-90,-165,815,1
-90,78,1264,1
-84,-164,827,1
-82,-79,989,1
-64,-80,997,1
-62,-58,1034,1
-62,30,1182,1
-56,-64,1034,1
-56,-19,1164,1
-54,-28,1144,1
-51,-119,974,1
-50,-65,1043,1
-47,-120,980,1
-45,-8,1146,1
-44,42,1232,1
-38,32,1223,1
-37,-32,1133,1
-37,-12,1156,1
-35,-80,1044,1
-30,-73,1062,1
-29,-45,1111,1
-29,-29,1141,1
-28,-76,1062,1
-28,-70,1070,1
-28,-33,1131,1
-28,-19,1157,1
-27,-165,976,1
-27,-8,1191,1
-27,-1,1185,1
-27,49,1272,1
-25,-44,1119,1
-25,10,1222,1
-21,-84,1089,1
-20,-88,1083,1
-20,13,1252,1
-15,-37,1147,1
-14,9,1259,1
-12,-44,1159,1
-10,-85,1075,1
-10,192,1546,1
-9,-87,1073,1
-8,-18,1220,1
-7,-2,1217,1
-7,23,1261,1
-6,-19,1195,1
-5,-14,1201,1
-5,31,1279,1
-4,0,1225,1
-2,-5,1221,1
-2,2,1232,1
-1,7,1242,1
0,18,1263,1
0,24,1271,1
0,24,1272,1
1,-24,1199,1
4,5,1249,1
4,7,1252,1
4,23,1279,1
4,98,1407,1
5,-139,1023,1
6,39,1313,1
7,38,1310,1
9,208,1743,1
11,-28,1217,1
15,-46,1236,1
15,-5,1260,1
15,12,1293,1
15,16,1295,1
15,37,1324,1
16,-4,1255,1
19,-201,970,1
20,32,1330,1
21,-49,1199,1
23,2,1284,1
25,2,1282,1
25,34,1333,1
33,-139,1081,1
33,19,1330,1
36,-8,1294,1
38,-47,1249,1
38,33,1359,1
39,-59,1218,1
40,85,1507,1
41,35,1370,1
47,18,1348,1
54,43,1407,1
56,-145,1125,1
57,10,1350,1
57,21,1374,1
60,30,1391,1
64,123,1576,1
66,72,1465,1
70,-273,1002,1
70,57,1469,1
71,60,1458,1
72,-10,1406,1
73,20,1401,1
81,60,1482,1
119,135,1683,1
143,147,1784,1
146,-68,1393,1
160,-267,1168,1
166,26,1578,1
167,27,1578,1
