x_bin,y_bin,t_bin,particle_count
-1183,-826,598,1
-984,750,2746,1
-802,-137,1676,1
-690,-226,1747,1
-686,-223,1755,1
-555,-240,1843,1
-457,-168,2064,1
-452,-741,9269,1
-354,-1813,0,1
-352,102,2710,1
-281,946,4053,1
-230,333,3198,1
-213,-246,2328,1
-206,153,2946,1
-195,-141,2500,1
-115,-313,2368,1
-115,-153,2608,1
-109,36,2897,1
-103,-703,1944,1
-101,-703,1947,1
-69,627,4079,1
-63,-69,2809,1
-60,-61,2821,1
-28,258,3411,1
-27,1,2972,1
-16,4,2985,1
-8,-21,2999,1
-2,29,3048,1
-1,523,3903,1
8,-1,3015,1
9,0,3017,1
11,36,3073,1
11,53,3170,1
20,-188,2770,1
20,-4,3028,1
22,7,3046,1
31,3,3056,1
45,42,3145,1
54,642,4231,1
64,-110,2996,1
117,642,4236,2
128,-2668,1876,1
143,554,4142,1
152,279,3669,1
152,279,3670,1
153,-107,3083,1
155,-110,3077,1
173,645,4329,1
183,626,4322,1
189,-40,3281,1
190,-356,2778,1
190,299,3786,1
193,-193,3018,1
203,-25,3347,1
204,553,4276,1
236,-581,2506,1
289,-658,2519,1
355,1322,6113,1
398,633,4794,1
450,848,5064,1
451,846,5088,1
475,867,5131,2
479,909,5211,1
479,911,5214,1
565,871,5291,1
