x_bin,y_bin,t_bin,particle_count
-285,301,490,1
-274,-52,0,1
-272,-51,4,1
-215,-120,94,1
-206,16,154,1
-198,184,390,1
-191,-36,100,1
-171,-23,128,1
-171,-20,118,1
-164,103,267,1
-163,147,299,1
-160,18,212,1
-160,288,489,1
-157,-17,167,1
-149,-39,132,1
-147,-118,79,1
-147,23,325,1
-147,135,304,1
-143,-95,121,1
-143,66,241,1
-143,69,241,1
-141,-31,147,1
-140,-38,184,1
-135,-119,94,1
-135,74,265,1
-134,34,234,1
-134,98,347,1
-132,-8,188,1
-132,48,227,1
-131,-119,112,1
-128,-46,133,1
-125,-11,241,1
-125,25,223,1
-124,12,217,1
-115,70,260,1
-115,104,341,1
-111,-53,229,1
-107,23,451,1
-105,-110,169,1
-104,-183,80,1
-104,-70,144,1
-104,-70,145,1
-104,-37,183,1
-104,138,462,1
-101,-173,81,1
-100,-76,141,1
-100,-16,207,1
-97,-49,175,1
-96,-43,184,1
-96,-37,178,1
-95,31,236,1
-95,98,337,1
-95,140,396,1
-93,23,259,1
-92,34,243,1
-92,243,476,1
-91,-99,192,1
-90,-124,137,1
-90,-45,172,2
-90,74,345,1
-89,-30,221,1
-89,59,273,1
-88,60,275,1
-87,-28,205,1
-87,-8,226,1
-86,23,260,1
-85,-129,113,1
-84,-118,137,1
-84,-29,212,1
-81,40,273,1
-81,108,327,1
-80,-52,261,1
-79,-200,82,2
-76,-88,182,1
-76,25,315,1
-76,34,307,1
-75,104,350,1
-73,47,285,1
-71,45,284,1
-70,-5,244,1
-70,70,301,1
-69,-36,214,1
-69,26,269,1
-68,-18,222,1
-66,-112,136,1
-66,-2,248,1
-65,-102,149,1
-65,-4,251,1
-65,66,346,1
-62,-41,225,1
-59,8,268,1
-58,-147,158,1
-58,-27,215,1
-58,-24,237,1
-58,47,289,1
-57,-20,249,1
-55,-76,221,1
-54,31,283,1
-53,-121,238,1
-53,-6,241,1
-52,-106,174,1
-52,-31,273,1
-51,-37,209,1
-51,-11,238,1
-50,-34,220,1
-49,-185,278,1
-49,-67,190,1
-49,-11,251,1
-48,-19,262,1
-48,47,302,1
-47,-107,159,1
-47,-16,236,1
-47,24,277,1
-46,-18,238,1
-44,-4,250,1
-42,-4,275,1
-42,22,293,1
-41,16,275,1
-41,66,409,1
-40,168,457,1
-39,-56,212,1
-39,0,274,1
-38,-3,282,1
-37,-14,286,1
-37,8,269,1
-36,-211,117,1
-36,56,353,1
-35,-40,280,1
-35,-28,235,1
-35,-4,265,1
-35,30,296,1
-35,47,319,2
-34,-149,187,1
-34,-81,200,1
-34,-60,216,1
-34,-28,235,1
-34,10,278,1
-34,10,279,1
-34,43,321,1
-33,-13,279,1
-32,-105,208,1
-32,-38,244,1
-31,-24,243,1
-31,-20,254,1
-31,36,304,1
-30,-11,257,1
-30,14,284,1
-30,17,300,1
-30,53,322,1
-28,-40,242,1
-28,-1,274,1
-27,-45,257,1
-27,5,280,1
-27,16,289,1
-27,20,296,1
-26,-8,264,1
-26,-7,266,1
-26,1,283,1
-25,-91,198,1
-25,-2,271,1
-24,-56,217,1
-24,-25,252,1
-24,-10,261,2
-24,-9,282,1
-24,13,285,2
-24,43,318,1
-23,-86,195,1
-23,-56,218,1
-23,-1,290,1
-23,0,275,1
-22,-86,195,1
-22,-3,274,1
-22,-1,289,1
-20,-47,239,1
-20,8,283,1
-20,99,425,1
-19,-62,220,1
-19,-35,245,1
-19,-16,260,1
-19,13,290,1
-18,-133,209,1
-18,-17,279,1
-18,-16,263,1
-18,3,283,1
-17,-119,184,1
-17,-8,274,1
-17,7,287,1
-17,15,300,1
-17,42,321,1
-16,-42,242,1
-16,2,281,1
-16,5,288,1
-16,8,287,1
-16,34,317,1
-16,42,332,1
-15,-6,275,1
-15,5,288,1
-15,8,304,1
-15,11,307,1
-15,50,376,1
-15,54,374,1
-14,-24,261,1
-14,-24,268,1
-14,1,282,1
-14,22,305,1
-13,-62,228,1
-13,-34,293,1
-13,-10,289,1
-13,-2,282,1
-12,-66,228,1
-12,-57,232,1
-12,-22,268,1
-12,-12,275,1
-12,-8,276,1
-12,1,287,1
-11,-59,247,1
-11,-33,255,1
-11,-16,268,1
-11,-5,282,1
-11,0,284,1
-11,1,287,1
-11,5,289,1
-11,7,294,1
-11,31,329,1
-11,57,362,1
-11,58,355,1
-10,-24,261,1
-10,-8,278,1
-10,-7,281,1
-10,-3,286,1
-10,1,288,1
-10,2,306,1
-10,4,290,1
-10,7,291,1
-10,17,305,1
-10,58,357,1
-9,-21,265,1
-9,-1,285,1
-9,12,298,1
-9,32,322,1
-8,-6,280,1
-8,0,288,1
-8,8,297,1
-8,24,323,1
-7,-259,278,1
-7,-37,261,1
-7,-32,257,1
-7,-27,303,1
-7,-13,275,1
-7,-3,285,1
-7,3,312,1
-7,4,292,1
-7,25,317,1
-7,92,410,1
-6,-99,208,1
-6,-26,278,1
-6,-14,278,1
-6,-13,277,1
-6,-4,285,1
-6,2,291,1
-6,4,292,1
-6,4,294,1
-6,6,296,1
-6,10,300,1
-6,30,322,1
-6,62,363,1
-6,154,482,1
-5,-36,262,1
-5,-13,277,1
-5,-12,278,1
-5,-11,287,1
-5,-8,284,1
-5,1,292,2
-5,6,296,1
-5,8,299,1
-5,9,298,1
-5,11,305,1
-5,15,310,1
-4,-127,228,1
-4,-51,243,1
-4,-20,272,1
-4,-16,275,1
-4,-13,279,1
-4,-9,282,1
-4,-5,287,1
-4,0,291,1
-4,1,292,1
-4,3,294,1
-4,7,299,1
-4,10,304,1
-4,31,323,1
-4,85,422,1
-4,253,610,1
-3,-50,250,1
-3,-36,259,1
-3,-16,275,1
-3,-16,277,1
-3,-11,282,1
-3,-8,285,1
-3,-7,286,1
-3,-6,286,2
-3,0,292,1
-3,6,304,1
-3,6,305,1
-3,9,304,1
-2,-41,254,1
-2,-21,315,1
-2,-10,284,1
-2,-6,287,1
-2,-5,288,1
-2,-1,293,1
-2,0,293,2
-2,0,296,1
-2,0,313,1
-2,1,306,1
-2,4,297,1
-2,14,307,1
-1,-59,244,1
-1,-24,273,1
-1,-10,284,1
-1,-6,287,1
-1,-3,291,1
-1,-1,306,1
-1,0,297,1
-1,1,294,1
-1,1,295,1
-1,3,297,1
-1,6,300,1
-1,7,303,1
-1,12,339,1
-1,14,308,1
-1,70,381,1
0,-35,270,1
0,-33,269,1
0,-30,269,1
0,-8,287,1
0,-6,288,1
0,-3,314,1
0,-1,294,2
0,4,300,1
0,10,315,1
1,-104,202,1
1,-12,284,1
1,-11,293,1
1,-9,287,1
1,-8,289,1
1,-4,291,1
1,-3,293,1
1,-3,295,1
1,-3,296,1
1,-1,294,1
1,0,298,1
1,1,297,1
1,1,325,1
1,3,300,1
1,4,300,1
2,-94,210,1
2,-21,279,1
2,-17,292,1
2,-11,289,1
2,2,304,1
2,4,305,1
2,28,326,1
2,44,365,1
3,-42,285,1
3,-29,272,1
3,-9,314,1
3,-9,330,1
3,-4,299,1
3,-3,295,1
3,1,299,1
3,4,312,1
3,12,311,1
3,27,325,1
4,-29,304,1
4,-20,280,1
4,-19,289,1
4,-16,287,1
4,-8,292,1
4,-7,293,1
4,0,300,1
4,3,303,1
4,6,304,1
4,6,310,1
4,8,308,1
4,19,320,1
4,35,344,1
5,-65,241,1
5,-37,290,1
5,-32,272,1
5,-18,284,1
5,6,336,1
5,9,315,1
5,12,317,1
5,13,321,1
5,22,324,1
5,24,327,1
5,59,366,1
6,-67,249,1
6,-36,292,1
6,-31,278,1
6,-20,293,1
6,-5,295,2
6,-5,296,1
6,1,302,1
6,3,305,1
6,15,324,1
6,17,341,1
7,-31,273,1
7,-25,281,1
7,-19,296,1
7,-15,288,1
7,-13,294,1
7,-10,301,1
7,-3,299,2
7,-2,299,1
7,7,317,1
7,12,343,1
7,16,320,1
7,111,426,1
7,112,427,1
8,-72,250,1
8,-52,269,1
8,13,324,1
8,24,330,1
8,59,368,1
8,295,627,1
9,-32,275,1
9,-13,294,1
9,-11,303,1
9,24,334,1
10,-144,209,1
10,-22,285,1
10,-14,294,1
10,-13,296,1
10,-5,306,1
10,-4,304,1
11,-19,297,1
11,-6,302,1
11,-2,304,1
11,9,318,1
11,15,325,1
11,21,334,1
11,31,338,1
12,-142,190,1
12,-65,263,1
12,-23,289,1
12,-8,301,1
12,-6,320,1
12,13,321,1
12,33,348,1
12,60,390,1
13,-8,317,1
13,4,313,1
13,17,328,1
13,19,327,1
13,206,547,1
14,-9,302,1
14,-3,316,1
14,1,312,1
14,4,317,1
14,12,330,1
14,15,331,1
14,22,334,1
14,33,347,1
15,-257,102,1
15,11,321,1
15,27,409,1
15,34,353,1
15,95,430,1
16,-28,287,1
16,-6,330,1
16,1,317,1
17,-2,313,1
17,0,315,1
17,1,315,1
17,86,425,1
18,-36,279,1
18,-22,293,1
18,-13,345,1
18,17,331,1
18,18,332,1
18,33,349,1
19,-3,317,1
20,-52,280,1
20,-19,298,1
20,21,338,1
20,283,741,1
21,5,323,1
21,19,339,1
21,37,354,1
22,13,348,1
22,35,353,1
23,16,343,1
23,20,359,1
23,32,350,1
24,-120,205,1
24,31,351,1
24,48,378,1
25,-4,318,1
25,19,348,1
25,35,365,1
25,47,379,1
25,93,418,2
26,-184,182,1
27,-20,322,1
27,3,326,1
27,11,334,1
27,31,373,1
28,0,324,1
28,43,388,1
29,-64,268,1
29,-16,309,1
29,16,341,1
30,-18,311,1
31,-10,334,1
31,-3,335,1
31,49,379,1
32,35,364,1
32,43,372,1
32,68,423,1
33,-55,412,1
33,-53,293,1
33,-8,326,1
33,33,362,1
34,-68,267,1
36,-29,303,1
36,15,358,1
36,17,355,1
36,106,489,1
37,13,378,1
37,28,377,1
38,-9,328,1
38,9,348,1
38,9,353,1
38,27,388,1
38,29,373,1
40,-15,327,1
40,12,392,1
41,-85,274,1
42,-100,254,1
42,109,460,1
43,-129,230,1
43,-9,344,1
43,17,357,1
43,20,371,1
44,-126,234,1
44,40,412,1
45,-13,340,1
45,-9,342,1
45,11,351,1
45,11,352,1
45,14,374,1
45,21,362,1
45,43,386,1
45,44,386,2
46,-28,318,1
46,-17,354,1
46,34,397,1
48,-41,314,1
48,-41,315,1
49,-88,262,1
49,-43,313,1
49,-22,366,1
50,-44,304,1
51,1,356,1
51,144,530,1
52,-44,306,1
53,1,371,1
53,11,387,1
53,80,435,1
53,103,469,1
54,26,394,1
54,55,450,1
54,135,503,1
55,-65,341,1
55,-15,348,1
55,-12,358,1
55,115,496,1
56,-66,345,1
57,-123,286,1
57,-1,356,1
57,44,399,1
57,94,456,1
58,127,518,1
61,21,467,1
62,-75,321,1
65,-151,254,1
66,36,461,1
67,25,427,1
67,69,440,2
70,16,420,1
71,65,500,1
72,-41,336,1
72,-41,339,1
74,-312,145,1
75,62,453,1
77,-312,150,1
77,-68,323,1
78,69,464,1
80,-17,377,1
81,-18,376,1
82,186,660,1
83,71,462,1
84,-21,375,1
84,115,523,1
86,2,390,1
93,-73,397,1
94,-106,366,1
95,9,493,1
97,-169,243,1
97,-34,449,1
98,-158,256,1
99,-65,373,1
99,2,410,1
99,240,745,1
102,-97,379,1
103,-10,418,1
105,-73,357,1
106,-210,269,1
106,3,437,1
107,-66,394,1
112,74,486,1
117,-146,290,1
117,86,517,1
118,-28,394,1
118,9,438,1
119,39,505,1
122,-119,369,2
122,58,500,1
127,-46,427,1
127,122,634,1
130,57,522,1
138,83,546,1
139,-46,432,1
139,95,560,1
153,-175,349,1
154,103,569,1
168,21,520,1
175,-241,321,1
177,107,663,1
178,-274,310,1
184,15,564,1
208,58,617,1
257,-62,540,1
274,-143,491,1
275,-143,495,1
