x_bin,y_bin,t_bin,particle_count
-692,-684,0,1
-600,586,1465,1
-471,-371,559,1
-465,-366,569,1
-379,-11,1167,1
-338,76,1226,1
-269,-158,952,1
-248,-59,1077,1
-234,-225,962,1
-201,-225,977,1
-200,-86,1494,1
-161,21,1213,1
-147,19,1215,1
-147,20,1215,1
-146,17,1219,1
-134,30,1259,1
-124,157,1438,1
-120,2,1227,1
-113,34,1275,1
-109,43,1280,1
-99,341,1620,1
-93,-52,1215,1
-80,-113,1244,1
-70,42,1319,1
-65,-308,1022,1
-56,-268,1024,1
-52,2,1310,1
-42,-406,916,1
-19,427,1851,1
-9,434,1875,1
36,-251,1163,1
37,177,1561,1
67,-64,1347,1
68,-65,1346,1
111,-13,1441,1
111,-13,1442,1
112,-9,1456,1
116,75,1537,1
118,274,1750,1
126,-484,1006,1
157,-688,1152,1
169,103,1656,1
249,-28,1567,1
289,180,1838,1
344,-432,1327,1
436,712,2647,1
448,-793,1271,1
486,184,2094,1
503,169,2039,1
506,156,2032,1
523,153,2053,1
692,491,2648,1
696,247,2585,1
732,145,2526,1
