x,y,t,energy,particle_id,incidence_energy,incidence_angle
-367.18027,-204.1861,142.84999999997672,0.0904497732065069,14,1000.0,15
-121.4203,-100.46248,375.2699999999895,0.0042431028961365,14,1000.0,15
23.204124,-173.99019,391.5799999999872,0.0853638737532056,14,1000.0,15
127.22767,-122.020515,527.3099999999977,0.0283497911224745,14,1000.0,15
-0.69055957,-6.476002,480.6899999999732,0.0844279621337524,14,1000.0,15
-23.305061,13.3965225,490.13999999998487,0.1462824904143063,14,1000.0,15
46.400814,-4.685436,518.0599999999977,0.0300326663533224,14,1000.0,15
50.989628,-71.47465,468.8299999999872,0.1380093237226568,14,1000.0,15
-77.77987,-187.42213,330.0599999999977,0.0285998237743678,14,1000.0,15
-82.52427,-187.40086,328.3299999999872,0.0347094025672342,14,1000.0,15
62.96425,-125.39589,493.8499999999767,0.0057433036346102,14,1000.0,15
21.935375,-136.38194,421.5799999999872,0.0226097608226679,14,1000.0,15
78.19199,-85.41993,529.359999999986,0.0018522237821543,14,1000.0,15
26.53194,-113.306564,429.6599999999744,0.0527984237689008,14,1000.0,15
10.743238,-38.985573,490.1899999999732,0.009872570167564,14,1000.0,15
-45.39839,-82.440994,468.5799999999872,0.0052611338890316,14,1000.0,15
12.188973,-125.64806,415.429999999993,0.0847333408607965,14,1000.0,15
52.719894,-81.20279,467.0799999999872,0.0163168292398763,14,1000.0,15
53.95808,-166.0621,435.20999999999185,0.0358586140251348,14,1000.0,15
44.305405,-117.0091,459.4099999999744,0.0134036202674784,14,1000.0,15
16.625383,-129.3567,413.29999999998836,0.0110984562399674,14,1000.0,15
16.587805,-129.20308,413.22000000000116,0.0217015850350957,14,1000.0,15
31.817358,-125.59296,430.44999999998254,0.0239486688548433,14,1000.0,15
196.03633,13.240415,636.6599999999744,0.0516661221818311,14,1000.0,15
4.6124134,-127.0782,423.02999999999884,0.0082644149280786,14,1000.0,15
119.68088,32.418137,609.6699999999837,0.0082815712234806,14,1000.0,15
123.103714,33.53415,611.5,0.0126686118947733,14,1000.0,15
-44.410877,-50.339825,446.2699999999895,0.0633301398380936,14,1000.0,15
-128.69081,-0.41661373,414.0599999999977,0.0279661949868951,14,1000.0,15
-168.55931,-127.82911,315.87999999997555,0.0184986212969707,14,1000.0,15
55.373657,-149.51253,437.5999999999767,0.0131342202033357,14,1000.0,15
88.556946,-133.30244,472.38999999998487,0.0059304779318081,14,1000.0,15
61.39373,-132.52205,439.3299999999872,0.0414706731549604,14,1000.0,15
76.85691,-135.48158,447.3099999999977,0.1078252899624754,14,1000.0,15
38.14907,-143.6927,432.1899999999732,0.0061581200026095,14,1000.0,15
23.370651,-127.57625,424.429999999993,0.0472982283431407,14,1000.0,15
-49.178757,-168.93927,363.0599999999977,0.0077087542797609,14,1000.0,15
-147.6689,416.05692,695.9700000000012,0.035201130586028,14,1000.0,15
-11.183174,-121.85698,414.97000000000116,0.1143695390042936,14,1000.0,15
-379.10056,174.45343,425.35999999998603,0.0244458119163323,14,1000.0,15
-379.1073,174.57089,425.4099999999744,0.0419437813813622,14,1000.0,15
-455.5067,102.79015,692.4700000000012,0.0060729459596705,14,1000.0,15
14.210391,126.576866,571.6599999999744,0.1256100929872488,14,1000.0,15
74.57336,48.236362,556.7200000000012,0.0395815514048261,14,1000.0,15
69.51734,44.63723,551.0299999999988,0.0878398011349844,14,1000.0,15
63.46892,63.68163,562.1299999999756,0.0321369137237848,14,1000.0,15
9.746171,46.229725,527.1699999999837,0.084489025960265,14,1000.0,15
70.52498,65.218376,565.9899999999907,0.0541155359491603,14,1000.0,15
77.689575,49.19691,559.4399999999732,0.2157151406406804,14,1000.0,15
-146.7265,-33.696453,396.4099999999744,0.0117512737957857,14,1000.0,15
13.0189705,25.270237,516.7099999999919,0.0097065327230047,14,1000.0,15
39.310444,7.070354,516.1699999999837,0.0347378647777138,14,1000.0,15
-103.85916,-75.9052,657.9499999999825,0.0024963054754243,14,1000.0,15
32.044727,2.789999,505.02999999999884,0.1667433806310659,14,1000.0,15
-115.959305,75.90237,469.4899999999907,0.0618544904651683,14,1000.0,15
101.967415,43.31665,584.7699999999895,0.0068550132457938,14,1000.0,15
95.3509,58.775326,579.0299999999988,0.0152185370022903,14,1000.0,15
22.684877,147.26266,590.1599999999744,0.0366233843394487,14,1000.0,15
22.721668,147.25475,590.1599999999744,0.0564957255563088,14,1000.0,15
65.596214,71.6317,571.2999999999884,0.0243668466567094,14,1000.0,15
-141.01845,91.63746,485.77999999999884,0.0055757305912166,14,1000.0,15
-150.34981,95.42626,479.429999999993,0.0137890029290784,14,1000.0,15
143.4383,32.32854,601.25,0.0246740142441792,14,1000.0,15
-214.3371,95.060326,459.5,0.0304656395067459,14,1000.0,15
-27.288044,23.749842,485.25,0.0351422407820576,14,1000.0,15
173.63234,161.19777,697.1599999999744,0.0064677312271364,14,1000.0,15
174.37749,161.19037,696.0599999999977,0.0739761793431828,14,1000.0,15
57.054,-5.037815,512.5,0.1061896545386293,14,1000.0,15
-99.51997,-56.69896,442.5,0.003302829471338,14,1000.0,15
123.08334,-99.31209,513.5599999999977,0.0059783749270788,14,1000.0,15
192.75851,-268.0754,510.1699999999837,0.0082677336501141,14,1000.0,15
-21.869797,202.61444,631.9899999999907,0.0225065188560255,14,1000.0,15
-88.52042,-202.04958,415.88999999998487,0.0036208536500763,14,1000.0,15
28.251049,399.53317,819.0999999999767,0.0035533192704575,14,1000.0,15
25.483845,397.07935,813.5199999999895,0.0062074398959732,14,1000.0,15
-97.19239,-247.53851,326.63999999998487,0.0043820884094028,14,1000.0,15
-100.113495,-246.65822,320.4399999999732,0.013470337362664,14,1000.0,15
70.98464,76.05509,574.109999999986,0.0335439471176982,14,1000.0,15
85.17275,94.950516,601.3799999999756,0.0243409706343347,14,1000.0,15
144.13312,73.880035,654.8099999999977,0.0654076119340664,14,1000.0,15
134.27592,84.42442,628.1899999999732,0.0254551130320083,14,1000.0,15
74.96177,155.80815,630.4399999999732,0.0069748667861017,14,1000.0,15
71.29719,161.18954,631.1699999999837,0.0077435055551982,14,1000.0,15
66.364365,41.077232,553.9499999999825,0.1314383852572135,14,1000.0,15
18.0305,41.611893,529.1599999999744,0.007741024162738,14,1000.0,15
9.486638,50.11911,521.859999999986,0.0677066472733856,14,1000.0,15
25.639727,70.77362,540.609999999986,0.0769578677142607,14,1000.0,15
-107.64046,114.04965,524.0,0.0178055138582098,14,1000.0,15
-115.87828,125.30786,515.5499999999884,0.009418284590997,14,1000.0,15
-24.10517,-184.33815,376.5599999999977,0.0112307823857926,14,1000.0,15
-3.9978318,7.448046,489.0599999999977,0.0202682581110347,14,1000.0,15
-81.00769,165.76854,571.4099999999744,0.0139322941317802,14,1000.0,15
43.063686,90.85556,563.0299999999988,0.0519339965082678,14,1000.0,15
43.067013,30.487732,529.7799999999988,0.0196106038460275,14,1000.0,15
27.00677,23.9942,514.4399999999732,0.0080467418718408,14,1000.0,15
30.36968,28.317669,515.5499999999884,0.1416669470605822,14,1000.0,15
49.985268,0.7283486,517.2200000000012,0.0365048704401802,14,1000.0,15
4.532816,0.99142,485.02999999999884,0.1745247225591115,14,1000.0,15
40.043285,-86.89709,462.2699999999895,0.0377036016073627,14,1000.0,15
79.32599,133.70679,629.5999999999767,0.0658163602202808,14,1000.0,15
44.82139,117.1528,606.75,0.0202873931255859,14,1000.0,15
39.769917,38.46668,532.859999999986,0.0356584178611468,14,1000.0,15
32.57323,16.795198,512.1899999999732,0.0522496673814167,14,1000.0,15
31.154919,26.869864,518.0499999999884,0.0134192803345585,14,1000.0,15
32.509644,31.238384,521.6599999999744,0.0174623678971904,14,1000.0,15
25.014002,9.673738,644.5799999999872,0.0087479757432367,14,1000.0,15
15.491334,-54.155235,498.1899999999732,0.0082656628948231,14,1000.0,15
24.030397,49.659668,527.6399999999849,0.0404890506395179,14,1000.0,15
53.7462,13.580614,526.6699999999837,0.0338790310647628,14,1000.0,15
5.615707,20.17874,506.63999999998487,0.0020900619009318,14,1000.0,15
10.304083,20.489403,499.5599999999977,0.3534819518767576,14,1000.0,15
-1.4597766,-27.354338,498.02999999999884,0.006819917648065,14,1000.0,15
39.69722,33.36919,525.4899999999907,0.0095520798456935,14,1000.0,15
37.69264,34.384228,524.0499999999884,0.0319555428286782,14,1000.0,15
42.502777,34.095116,526.6899999999732,0.2134612042581437,14,1000.0,15
36.113277,80.87358,554.5,0.1177542202957144,14,1000.0,15
52.342987,69.804245,569.0799999999872,0.0058419128278104,14,1000.0,15
35.813248,44.86499,530.7999999999884,0.0116103981096362,14,1000.0,15
38.158577,90.749954,564.2799999999988,0.0316947375519178,14,1000.0,15
10.24199,39.654213,529.5199999999895,0.0063378407220141,14,1000.0,15
54.465645,72.65734,559.7999999999884,0.0194317780222361,14,1000.0,15
65.22877,72.14158,567.3899999999849,0.1180648872748169,14,1000.0,15
-92.581825,-120.678955,410.0199999999895,0.0036604788741449,14,1000.0,15
-90.74887,-119.4759,406.77999999999884,0.0064557140107915,14,1000.0,15
33.036133,55.588184,543.5299999999988,0.0136843985677943,14,1000.0,15
30.699562,70.39104,543.5499999999884,0.0192765120243935,14,1000.0,15
23.328367,97.51611,560.6699999999837,0.0595274859502461,14,1000.0,15
46.83786,26.561306,526.2099999999919,0.0914118651824436,14,1000.0,15
48.922718,40.764065,535.0599999999977,0.2106045113500531,14,1000.0,15
42.61707,44.470127,535.7299999999814,0.0147830075039616,14,1000.0,15
37.20056,40.971527,527.4700000000012,0.0915315980374555,14,1000.0,15
0.35727093,-32.469044,469.1899999999732,0.0513011941295449,14,1000.0,15
-14.372389,-1.4198145,473.25,0.0482061608694476,14,1000.0,15
42.11306,74.7779,560.9700000000012,0.0169849716069454,14,1000.0,15
40.888397,75.592155,560.8499999999767,0.0319159012581499,14,1000.0,15
-56.527206,-19.607466,447.3299999999872,0.0207980081661831,14,1000.0,15
-52.866554,-14.008196,450.75,0.0706012337031593,14,1000.0,15
-89.888916,-80.77117,421.0799999999872,0.0044880282427343,14,1000.0,15
-91.188675,-78.00645,421.77999999999884,0.0061150970097614,14,1000.0,15
52.87027,45.729507,542.6599999999744,0.014720752974018,14,1000.0,15
50.424984,43.074024,538.2999999999884,0.047505388749387,14,1000.0,15
51.149296,40.687668,536.859999999986,0.1922621248598464,14,1000.0,15
-15.937414,-28.057968,524.1899999999732,0.0070558298290181,14,1000.0,15
50.181637,29.463018,529.9700000000012,0.2680140456763932,14,1000.0,15
194.24632,161.88618,756.7999999999884,0.0202076003204575,14,1000.0,15
185.78436,160.48053,746.0599999999977,0.0353091607098098,14,1000.0,15
-260.54776,-27.034605,359.25,0.0022831957374604,14,1000.0,15
-263.2383,-28.828482,354.97000000000116,0.0074377229309128,14,1000.0,15
98.07799,74.59403,614.6899999999732,0.0056487453582903,14,1000.0,15
106.4221,72.31048,616.8099999999977,0.0166278009092698,14,1000.0,15
26.43899,49.482323,589.4700000000012,0.0015323876229905,14,1000.0,15
22.535267,38.341164,517.7999999999884,0.0491859793590398,14,1000.0,15
13.340758,70.19048,539.8899999999849,0.0174581555056847,14,1000.0,15
-57.56281,31.26076,484.3099999999977,0.0034007328158527,14,1000.0,15
80.89021,44.929073,559.5,0.0323675485009716,14,1000.0,15
75.08768,48.49332,556.8099999999977,0.1516958203216451,14,1000.0,15
28.390959,30.30009,523.25,0.0161863806113915,14,1000.0,15
75.415146,127.01375,733.0199999999895,0.0143831314042268,14,1000.0,15
-3.940372,52.70913,558.0,0.0123348392545707,14,1000.0,15
-98.77427,-101.15489,563.7099999999919,0.0756497309308638,14,1000.0,15
36.888584,29.373308,543.0999999999767,0.0062952002633002,14,1000.0,15
25.226917,53.604725,528.9499999999825,0.0512639708320379,14,1000.0,15
40.493744,85.35251,576.8099999999977,0.0156878216978213,14,1000.0,15
-16.7413,26.096413,492.929999999993,0.0751214087585395,14,1000.0,15
55.16848,56.877808,549.2699999999895,0.0506488834504073,14,1000.0,15
-38.83009,-82.40942,525.25,0.0056856361358839,14,1000.0,15
-29.18367,95.50966,538.929999999993,0.0120785270125813,14,1000.0,15
-4.150737,6.9595447,492.8099999999977,0.0704159551556012,14,1000.0,15
22.752087,39.77505,526.2699999999895,0.0031484316437691,14,1000.0,15
22.711853,38.08511,517.1599999999744,0.1270782729604767,14,1000.0,15
38.97475,46.609554,533.0499999999884,0.119734584833175,14,1000.0,15
41.648895,41.82434,530.8299999999872,0.2074992175546783,14,1000.0,15
34.73873,44.575756,528.7099999999919,0.1194224739313243,14,1000.0,15
28.409094,57.131664,535.2799999999988,0.0767523600847166,14,1000.0,15
38.41405,74.86793,551.5799999999872,0.0032193246977866,14,1000.0,15
38.077435,73.82092,549.2999999999884,0.219690946501299,14,1000.0,15
50.17191,26.778973,531.7099999999919,0.0141932853774996,14,1000.0,15
83.95731,73.017624,607.1899999999732,0.0084767760133904,14,1000.0,15
-54.0071,330.0878,734.109999999986,0.0190713109777645,14,1000.0,15
-129.5535,50.68316,469.3299999999872,0.0285118332624335,14,1000.0,15
-7.583067,46.183094,505.60999999998603,0.0211055636196022,14,1000.0,15
-10.673783,47.865616,505.1699999999837,0.0649933876374804,14,1000.0,15
24.63801,105.17,566.3799999999756,0.0343913576644533,14,1000.0,15
16.520363,102.156715,558.1299999999756,0.0409888613261951,14,1000.0,15
28.78316,110.85034,572.8299999999872,0.1328395728710745,14,1000.0,15
36.442123,76.386604,557.6299999999756,0.0248588196908007,14,1000.0,15
33.959713,51.346325,532.8099999999977,0.0909622709497971,14,1000.0,15
51.939816,41.32079,544.7699999999895,0.0056231450362386,14,1000.0,15
51.873165,41.225502,543.5499999999884,0.0854015046848383,14,1000.0,15
39.85983,38.569088,529.3799999999756,0.0088722341076288,14,1000.0,15
41.6755,36.103016,527.4700000000012,0.2915192522955008,14,1000.0,15
22.938755,29.870823,515.4399999999732,0.1507550207612157,14,1000.0,15
52.591297,48.805176,543.1399999999849,0.1431458087283482,14,1000.0,15
116.44088,16.345758,594.1399999999849,0.0056574524653558,14,1000.0,15
33.037827,-15.083178,496.37999999997555,0.014284648763604,14,1000.0,15
32.507023,-15.66354,495.52999999999884,0.0292036694729264,14,1000.0,15
65.10667,62.32646,574.0,0.0248173863936211,14,1000.0,15
12.527948,-13.441926,560.2200000000012,0.0050898207199396,14,1000.0,15
59.65457,6.9218082,525.3799999999756,0.024817877458927,14,1000.0,15
59.933563,-20.644398,513.3299999999872,0.186698533679523,14,1000.0,15
-408.8259,-469.2879,0.0,0.0103740767927554,14,1000.0,15
-104.94839,-236.39769,310.5999999999767,0.0091281489752275,14,1000.0,15
-89.35777,-265.883,267.5199999999895,0.0612705903598953,14,1000.0,15
-217.43358,-256.9266,252.04999999998836,0.0237744523765226,14,1000.0,15
-125.51745,-394.49963,175.25,0.0082670313582659,14,1000.0,15
-152.74196,-419.55313,154.38999999998487,0.0666004011081314,14,1000.0,15
-136.03802,-394.89716,168.22000000000116,0.2254970997985179,14,1000.0,15
51.102806,126.83869,673.1299999999756,0.0106600221130937,14,1000.0,15
-484.70303,98.967384,512.0599999999977,0.0022913655910516,14,1000.0,15
-51.21812,-252.08041,311.0799999999872,0.0120978954632108,14,1000.0,15
19.305859,-174.16217,415.8099999999977,0.0061754226121879,14,1000.0,15
-234.64677,55.390938,422.72000000000116,0.0079154358831823,14,1000.0,15
-38.576813,-294.8575,313.7299999999814,0.0271355527027186,14,1000.0,15
-253.5416,487.575,984.75,0.0043768859448761,14,1000.0,15
303.69235,133.21416,756.359999999986,0.0755725439105843,14,1000.0,15
-218.48688,78.38508,422.9399999999732,0.0131750250488386,14,1000.0,15
-151.48624,83.99941,451.97000000000116,0.006098617865153,14,1000.0,15
-159.14008,65.67874,465.77999999999884,0.018999553307645,14,1000.0,15
-195.09459,146.36319,517.7299999999814,0.005700927378544,14,1000.0,15
-197.55176,44.817924,406.20999999999185,0.0350817568568454,14,1000.0,15
-155.53308,34.87157,408.72000000000116,0.104979811435179,14,1000.0,15
-149.26599,39.653057,414.35999999998603,0.1555961830567941,14,1000.0,15
-146.56818,79.30235,442.29999999998836,0.1773402795325667,14,1000.0,15
-113.99306,99.22935,497.5,0.0125786679110742,14,1000.0,15
-277.72534,104.1019,585.5599999999977,0.0023823147863115,14,1000.0,15
-30.286446,5.831403,480.1899999999732,0.0094941475430175,14,1000.0,15
-160.98415,24.534473,405.1599999999744,0.0019201290324427,14,1000.0,15
-160.89038,24.951485,404.5999999999767,0.0036958958826282,14,1000.0,15
-146.00197,42.96602,435.8499999999767,0.0233361286310971,14,1000.0,15
-157.58958,15.820505,395.2699999999895,0.1597319969116546,14,1000.0,15
-142.79372,69.25645,437.1599999999744,0.2346990433893069,14,1000.0,15
-142.78596,69.10328,437.0599999999977,0.3670356852299113,14,1000.0,15
-135.81934,40.85359,442.27999999999884,0.0019729011083101,14,1000.0,15
-141.16026,42.37054,422.4899999999907,0.0139724908318052,14,1000.0,15
-51.934906,20.25809,502.37999999997555,0.0027313756281527,14,1000.0,15
-163.43614,52.65986,444.72000000000116,0.0035594675937045,14,1000.0,15
