x_bin,y_bin,t_bin,particle_count
-283,135,133,1
-281,214,141,1
-227,-209,157,1
-218,201,136,1
-217,-64,58,1
-215,-57,55,1
-214,-165,58,1
-194,40,63,1
-194,104,45,1
-190,128,68,1
-187,39,58,1
-180,112,56,1
-179,202,94,1
-171,-159,38,1
-160,-214,56,1
-160,-100,99,1
-154,102,144,1
-147,38,71,1
-144,-79,19,1
-143,-46,64,1
-137,51,50,1
-136,41,53,1
-135,-146,92,1
-135,70,14,1
-135,226,167,1
-131,-126,73,1
-131,-57,73,1
-129,-17,19,1
-128,-139,85,1
-128,-138,85,1
-122,49,16,1
-120,42,62,1
-119,57,32,1
-118,73,26,1
-112,110,45,1
-111,72,20,1
-108,119,144,1
-106,0,13,1
-105,56,116,1
-103,5,78,1
-103,51,46,1
-101,78,24,1
-100,-75,15,1
-100,-15,32,1
-100,61,31,1
-100,195,63,1
-99,66,16,1
-98,73,19,1
-98,107,37,1
-96,94,121,1
-94,83,107,1
-91,-76,24,1
-89,-37,16,1
-87,-54,7,1
-86,-24,4,1
-84,-92,89,1
-83,2,18,1
-82,7,18,1
-81,8,30,1
-81,72,34,1
-81,110,40,1
-80,39,9,1
-78,-75,10,1
-77,-9,9,1
-76,-69,9,1
-76,-53,29,1
-76,1,13,1
-76,94,19,1
-75,5,14,1
-75,13,46,1
-74,-18,4,1
-73,-3,16,1
-73,18,30,1
-72,52,65,1
-71,-69,30,1
-71,-17,3,1
-68,-51,40,1
-67,23,47,1
-66,-30,44,1
-65,47,9,1
-65,48,13,1
-64,55,30,1
-63,-42,32,1
-61,-25,5,1
-59,20,3,2
-59,161,56,1
-58,-19,10,1
-58,50,53,1
-56,-24,10,1
-56,16,34,1
-56,35,5,1
-55,34,5,1
-55,81,39,1
-55,94,13,1
-54,-21,17,1
-53,1,4,1
-53,12,6,1
-53,12,7,1
-52,137,68,1
-51,-24,9,1
-50,-25,6,1
-50,-8,8,1
-49,-119,9,1
-49,-38,49,1
-49,13,36,1
-48,-17,19,1
-47,16,2,1
-47,50,12,1
-47,98,12,1
-46,19,10,1
-44,-55,74,1
-44,-6,2,1
-44,13,15,1
-43,89,7,1
-43,100,14,1
-42,-58,7,1
-42,5,1,1
-41,-71,6,1
-41,-12,39,1
-41,5,17,1
-41,9,2,1
-40,-39,47,1
-40,-17,1,1
-40,92,35,1
-40,151,43,1
-40,152,41,1
-39,-55,23,1
-39,-3,3,1
-38,-50,73,1
-38,-20,15,1
-37,-62,15,1
-37,14,3,1
-36,47,4,1
-36,66,6,1
-35,-41,5,1
-35,-4,3,1
-34,-11,13,1
-33,10,1,1
-32,-125,83,1
-32,-124,81,1
-32,-86,35,1
-32,-84,29,1
-32,-29,7,1
-32,-15,5,1
-32,-5,2,1
-32,33,12,1
-32,34,16,1
-32,36,6,1
-32,58,3,1
-31,0,7,1
-31,7,1,1
-31,24,4,1
-30,-21,16,1
-30,5,3,1
-30,23,3,1
-30,37,2,1
-30,38,59,1
-30,55,44,1
-30,78,39,1
-30,83,8,1
-29,-46,29,1
-29,-29,19,1
-29,10,3,1
-29,11,1,1
-29,14,21,1
-29,33,12,1
-28,-81,30,1
-28,-6,7,1
-28,0,4,1
-28,17,6,1
-27,-79,26,1
-27,-8,1,1
-27,-1,17,1
-27,15,10,1
-27,46,43,1
-27,48,12,1
-27,56,12,1
-27,62,3,2
-26,-59,0,2
-26,25,3,1
-25,-46,42,1
-25,7,8,1
-25,40,2,1
-25,42,3,1
-24,-86,5,1
-24,-14,2,1
-24,-13,1,1
-24,11,11,1
-24,14,2,1
-24,25,53,1
-24,27,0,2
-24,88,11,1
-23,-40,17,1
-23,-20,7,1
-23,-11,28,1
-23,80,6,1
-22,-94,8,1
-22,-22,1,1
-22,5,1,1
-22,42,1,1
-22,97,60,1
-21,-34,2,1
-21,-31,5,1
-21,-14,2,1
-21,3,0,1
-21,10,2,1
-20,-66,8,1
-20,-37,6,2
-20,-36,3,1
-20,-26,1,1
-20,-11,4,1
-20,-5,9,1
-20,2,1,1
-20,3,23,1
-20,19,2,1
-20,35,5,1
-19,-35,1,1
-19,-23,1,1
-19,-15,7,1
-19,-1,0,1
-19,2,1,1
-19,11,4,1
-19,129,11,1
-18,-199,57,1
-18,-52,2,1
-18,-51,2,1
-18,1,2,1
-18,12,1,1
-18,13,11,1
-18,24,0,1
-18,24,3,1
-18,32,11,1
-18,34,48,1
-18,87,67,1
-17,1,0,1
-17,7,1,1
-17,9,1,1
-17,35,3,1
-17,53,1,1
-16,-64,37,1
-16,-31,2,1
-16,-10,4,1
-16,-3,0,1
-16,1,10,1
-16,5,0,1
-16,7,2,1
-16,103,84,1
-16,130,7,1
-16,160,30,1
-16,282,45,1
-15,-5,0,1
-15,-3,2,1
-15,-2,5,1
-15,23,2,1
-15,53,2,1
-15,130,7,1
-14,-144,28,1
-14,-83,3,1
-14,-67,35,1
-14,-12,0,1
-14,2,6,1
-14,4,2,1
-14,14,0,1
-14,22,11,1
-14,52,31,1
-14,70,6,1
-14,73,90,1
-13,-96,5,1
-13,-9,0,1
-13,-8,0,1
-13,27,6,1
-13,37,10,1
-13,62,15,1
-12,-96,8,1
-12,-26,9,1
-12,-9,10,1
-12,-2,4,1
-12,12,10,1
-12,19,6,1
-12,24,14,2
-12,36,1,1
-11,-13,0,1
-11,-11,4,1
-11,-8,7,2
-11,12,0,1
-11,17,2,1
-11,19,0,1
-11,20,0,1
-11,27,2,1
-10,-78,35,1
-10,-42,34,1
-10,-16,8,1
-10,-14,2,1
-10,-11,36,1
-10,-6,36,1
-10,-3,3,1
-10,14,1,1
-10,20,2,1
-10,38,2,1
-10,40,1,1
-9,-54,14,1
-9,-31,2,1
-9,-11,1,1
-9,-5,0,1
-9,-2,0,1
-9,1,1,1
-9,15,1,1
-9,26,0,1
-9,44,2,1
-8,-124,11,1
-8,-9,0,1
-8,-5,0,1
-8,-4,1,1
-8,13,0,1
-8,20,3,1
-8,28,11,1
