x_bin,y_bin,t_bin,particle_count
-1281,457,583,1
-1274,454,578,1
-1244,479,647,1
-651,-126,471,1
-463,554,1646,1
-418,-585,316,1
-415,-783,0,1
-415,-740,405,1
-349,-521,734,1
-304,759,2014,1
-250,729,2001,1
-180,-48,1091,1
-176,-56,1081,1
-167,54,1234,1
-156,-79,1081,1
-154,-118,1062,1
-151,-68,1099,1
-149,-45,1131,1
-133,-79,1110,1
-129,-74,1151,1
-129,-71,1127,1
-124,54,1306,1
-118,-355,882,1
-107,105,1367,1
-93,104,1374,1
-82,9,1273,1
-79,184,1486,1
-78,1,1264,1
-77,0,1264,1
-76,-7,1264,1
-76,0,1264,2
-73,-5,1270,1
-62,104,1444,1
-60,-130,1142,1
-51,135,1477,1
-48,154,1502,1
-42,-59,1242,1
-37,-228,1104,1
-34,-103,1233,1
-30,248,1642,1
-26,159,1521,1
-24,-148,1157,1
-23,-150,1152,1
-23,-113,1204,1
-22,-216,1095,1
-21,-148,1157,1
-21,-145,1162,1
-20,-157,1153,1
-20,-137,1192,1
-20,40,1403,1
-19,-145,1163,1
-18,-152,1157,1
-16,-62,1306,1
-14,-153,1161,1
-11,-160,1157,1
-7,-130,1195,1
0,-28,1329,1
2,-52,1355,1
7,-27,1334,1
20,-130,1234,1
24,184,1613,1
26,230,1679,1
27,-317,1125,1
31,-45,1398,1
35,364,1914,1
36,-98,1337,1
37,-50,1372,1
40,61,1474,1
43,-81,1322,1
52,91,1526,1
57,-150,1294,1
64,81,1525,1
65,89,1539,1
68,-50,1378,1
71,-330,1082,1
77,4,1475,1
80,-26,1421,1
89,275,1838,1
117,1266,3384,1
121,1270,3387,1
121,1271,3389,1
156,-113,1436,1
159,1997,4949,1
164,108,1747,1
251,1477,3477,1
265,1486,3512,1
393,-247,1685,1
547,383,2870,1
599,1060,3456,1
629,400,2932,1
637,397,2936,1
638,397,2939,1
832,740,4680,1
980,1813,5968,1
1053,2214,5917,1
1054,2216,5920,1
1239,45,3084,1
1350,-1913,1873,1
1407,666,4181,1
1546,540,4260,1
1549,535,4265,1
1798,-46,4540,1
