x_bin,y_bin,t_bin,particle_count
-807,33,192,1
-619,-885,0,1
-464,-318,51,1
-395,-637,153,1
-362,633,783,1
-332,42,289,1
-293,-729,82,1
-287,25,170,1
-286,25,170,1
-281,-419,115,1
-277,-753,71,1
-276,-754,72,1
-267,70,245,1
-256,-883,150,1
-220,46,186,1
-219,46,185,1
-214,55,194,1
-207,47,188,1
-204,44,191,1
-197,-814,143,1
-176,-170,173,1
-176,-69,191,1
-172,112,206,1
-166,27,175,1
-162,-721,596,1
-158,-178,180,1
-142,36,190,1
-141,502,493,1
-140,502,492,1
-135,23,197,1
-129,16,170,1
-125,657,893,1
-122,19,172,1
-121,9,183,1
-113,5,176,1
-85,-424,507,1
-79,-4,175,1
-76,116,230,1
-73,-49,249,1
-72,-49,248,1
-68,84,217,1
-66,2,232,1
-57,180,380,1
-51,-13,202,1
-48,378,406,1
-44,-295,164,1
-44,-24,181,1
-42,10,213,1
-41,-117,241,1
-36,46,195,1
-30,47,223,1
-22,-29,187,2
-21,-266,223,1
-21,149,225,1
-20,315,378,1
-19,86,225,1
-9,-60,233,1
-6,-45,203,1
-1,-17,192,1
-1,1,192,1
0,-112,170,1
0,99,216,2
2,-116,169,1
3,34,214,1
6,-138,172,1
7,-130,173,1
7,-52,199,1
9,23,208,1
10,-361,204,1
12,9,196,1
14,-86,206,1
14,-31,192,1
16,-174,172,1
17,-114,180,1
17,-36,193,1
17,193,265,1
19,-36,194,1
21,-40,266,1
21,-1,210,1
22,-39,268,1
24,-91,178,1
25,40,204,1
25,41,204,1
25,73,219,1
27,161,287,1
29,-92,179,1
31,-156,179,1
33,93,235,1
34,44,207,1
35,50,213,1
35,64,221,1
36,-146,187,1
36,-109,242,1
37,-225,170,1
38,16,206,1
38,40,206,1
38,47,208,1
39,265,326,1
40,-64,210,1
40,-44,247,1
40,56,212,1
40,95,221,1
41,-147,201,1
41,58,212,1
42,-127,179,1
42,94,223,1
44,56,234,1
44,60,213,1
44,109,233,1
46,-103,180,1
47,-3,207,1
48,-168,169,1
48,-80,228,1
48,-4,246,1
52,37,212,1
53,-147,216,1
53,37,212,1
55,49,257,1
57,-4,217,1
60,17,209,1
64,79,225,1
66,-165,177,1
67,48,381,1
68,13,266,1
71,6,228,1
72,-135,186,1
73,23,221,1
77,14,216,1
78,-934,237,1
78,-21,211,1
78,74,251,1
78,127,242,1
79,193,296,1
80,51,223,1
81,129,239,1
83,133,247,1
84,-98,199,1
87,42,240,1
88,-122,188,1
96,313,414,1
99,-93,202,1
102,115,264,1
115,-125,208,1
118,-82,230,1
123,-203,254,1
133,58,240,1
138,-133,204,1
140,256,310,1
142,-130,205,1
147,134,290,1
154,12,250,1
158,-146,238,1
167,-538,246,1
184,-451,298,1
195,-162,266,1
218,-24,287,1
253,-98,284,1
255,-90,278,1
264,133,361,1
280,-333,522,1
375,610,453,1
375,610,454,1
408,905,630,1
416,891,608,1
435,338,377,1
441,346,379,1
449,481,399,1
452,948,697,1
455,553,421,1
457,455,397,1
461,500,407,1
619,263,411,1
693,380,780,2
727,537,954,1
942,-251,666,1
